Fecha,Hora,Precio,SourceType,SourceFileName,SourceArchiveId,ExtractionTimestamp
2026-05-01,1,14.09,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,2,18.64,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,3,23.47,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,4,29.51,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,5,31.55,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,6,26.15,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,7,27.08,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,8,31.73,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,9,37.37,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,10,40.86,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,11,32.13,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,12,33.47,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,13,30.42,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,14,32.31,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,15,31.76,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,16,35.63,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,17,33.55,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,18,30.29,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,19,26.14,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,20,17.98,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,21,13.88,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,22,16.18,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,23,16.57,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-01,24,18.81,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,1,18.44,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,2,20.33,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,3,23.75,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,4,30.13,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,5,29.73,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,6,28.57,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,7,25.11,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,8,27.59,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,9,33.35,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,10,26.5,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,11,17.19,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,12,16.1,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,13,17.34,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,14,17.06,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,15,17.28,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,16,17.73,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,17,18.55,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,18,17.47,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,19,17.54,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,20,18.06,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,21,11.47,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,22,9.55,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,23,11.52,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-02,24,14.59,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-03,1,18.56,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-03,2,22.86,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-03,3,25.49,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-03,4,25.6,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-03,5,27.56,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
2026-05-03,6,30.7,A2,A2_prdemcad_20260501_20260531,3,2026-06-08 23:03:13.729
